DIV_NAME,SCHOOL_YEAR,AvgOfAVG_SOL_SCALE_SCORE,Subject
Charlotte County,2012-2013,422.32,Math
Charlotte County,2013-2014,422.13,Math
Charlotte County,2014-2015,439.69,Math
Charlotte County,2015-2016,436.5,Math
Charlotte County,2011-2012,449.8,Science
Charlotte County,2012-2013,422.78,Science
Charlotte County,2013-2014,423.72,Science
Charlotte County,2014-2015,430.06,Science
Charlotte County,2015-2016,446.09,Science
Charlottesville City,2011-2012,480.81,English (Reading)
Charlottesville City,2012-2013,438.4,English (Reading)
Charlottesville City,2013-2014,430.21,English (Reading)
Charlottesville City,2014-2015,431.78,English (Reading)
Charlottesville City,2015-2016,440.74,English (Reading)
Charlottesville City,2011-2012,471.75,English (Writing)
Charlottesville City,2012-2013,454.26,English (Writing)
Charlottesville City,2013-2014,427.13,English (Writing)
Charlottesville City,2014-2015,427.76,English (Writing)
Charlottesville City,2015-2016,430.07,English (Writing)
Charlottesville City,2011-2012,467.04,History
Charlottesville City,2012-2013,442.51,History
Charlottesville City,2013-2014,458.47,History
Charlottesville City,2014-2015,451.41,History
Charlottesville City,2015-2016,453.77,History
Charlottesville City,2011-2012,428.99,Math
Charlottesville City,2012-2013,428.84,Math
Charlottesville City,2013-2014,431.09,Math
Charlottesville City,2014-2015,431.43,Math
Charlottesville City,2015-2016,437.38,Math
Charlottesville City,2011-2012,447.22,Science
Charlottesville City,2012-2013,426.03,Science
Charlottesville City,2013-2014,438.23,Science
Charlottesville City,2014-2015,433.52,Science
Charlottesville City,2015-2016,434.68,Science
Chesapeake City,2011-2012,472.95,English (Reading)
Chesapeake City,2012-2013,431.38,English (Reading)
Chesapeake City,2013-2014,436.66,English (Reading)
Chesapeake City,2014-2015,435.91,English (Reading)
Chesapeake City,2015-2016,436.74,English (Reading)
Chesapeake City,2011-2012,465.29,English (Writing)
Chesapeake City,2012-2013,454.14,English (Writing)
Chesapeake City,2013-2014,446.89,English (Writing)
Chesapeake City,2014-2015,449.36,English (Writing)
Chesapeake City,2015-2016,449.28,English (Writing)
Chesapeake City,2011-2012,470.15,History
Chesapeake City,2012-2013,452.9,History
Chesapeake City,2013-2014,470.86,History
Chesapeake City,2014-2015,467.02,History
Chesapeake City,2015-2016,465.68,History
Chesapeake City,2011-2012,429.34,Math
Chesapeake City,2012-2013,436.04,Math
Chesapeake City,2013-2014,442.78,Math
Chesapeake City,2014-2015,450.39,Math
Chesapeake City,2015-2016,451.64,Math
Chesapeake City,2011-2012,456.23,Science
Chesapeake City,2012-2013,439.93,Science
Chesapeake City,2013-2014,439.42,Science
Chesapeake City,2014-2015,442.65,Science
Chesapeake City,2015-2016,444.49,Science
Chesterfield County,2011-2012,475.18,English (Reading)
Chesterfield County,2012-2013,430.05,English (Reading)
Chesterfield County,2013-2014,430.65,English (Reading)
Chesterfield County,2014-2015,429.89,English (Reading)
Chesterfield County,2015-2016,428.72,English (Reading)
Chesterfield County,2011-2012,453.45,English (Writing)
Chesterfield County,2012-2013,433.08,English (Writing)
Chesterfield County,2013-2014,430.56,English (Writing)
Chesterfield County,2014-2015,431.45,English (Writing)
Chesterfield County,2015-2016,426.32,English (Writing)
Chesterfield County,2011-2012,457.1,History
Chesterfield County,2012-2013,437.53,History
Chesterfield County,2013-2014,451.28,History
Chesterfield County,2014-2015,456.97,History
Chesterfield County,2015-2016,454.14,History
Chesterfield County,2011-2012,419.76,Math
Chesterfield County,2012-2013,421.52,Math
Chesterfield County,2013-2014,428.89,Math
Chesterfield County,2014-2015,433.11,Math
Chesterfield County,2015-2016,434.87,Math
Chesterfield County,2011-2012,451.62,Science
Chesterfield County,2012-2013,429.18,Science
Chesterfield County,2013-2014,428.31,Science
Chesterfield County,2014-2015,434.21,Science
Chesterfield County,2015-2016,433.85,Science
Clarke County,2011-2012,502.33,English (Reading)
Clarke County,2012-2013,443.57,English (Reading)
Clarke County,2013-2014,433.29,English (Reading)
Clarke County,2014-2015,440.86,English (Reading)
Clarke County,2015-2016,442.51,English (Reading)
