name,soq_2011,incentive_2011,catergorical_2011,lottery_2011,total_2011,soq_2012,incentive_2012,catergorical_2012,lottery_2012,total_2012,soq_2013,incentive_2013,catergorical_2013,lottery_2013,total_2013,soq_2014,incentive_2014,catergorical_2014,lottery_2014,total_2014
Hanover County,3977.44,78.46,9,111.98,4192.26,4180.9,40.28,7.28,121.67,4394,4179.35,72.9,7.49,134.69,4466.78,4569.31,39.65,6.78,134.8,4824.75
Harrisonburg City,3862.32,95.43,8.75,928.17,4897.87,4075.46,110.91,9.88,983.74,5200.67,4018.92,180.26,10.23,1020.04,5280.07,4293.89,93.78,10.37,1068.82,5529.59
Henrico County,3969.89,42.11,35.86,253.06,4311.23,4209.1,80.52,35.69,284.47,4625.27,4200.65,42.09,34.03,307.1,4597.88,4374,39.01,37.03,336.93,4805.98
Henry County,4954.53,170.14,11.75,761.65,6018.75,5000.66,178.73,8.91,851.01,6172.79,5009.58,249.48,10.62,878.07,6370.89,5324.93,125.54,8.13,932.14,6608.43
Highland County,2994.44,14.95,7.85,3112.84,6153.02,3122.46,559.55,7.33,3307.08,7020.81,3076.27,599.14,9.9,3203.7,6900.98,3194.24,510,15.96,3857.51,7590.21
Hopewell City,4735.44,101.59,12.45,732.17,5582.81,4872.7,98.9,9.94,809.16,5792.38,4844.15,183.18,8.94,837.82,5876.4,5173.63,102.3,9.49,913.93,6201.65
Isle of Wight County,4215.71,81.77,4.41,351,4656.72,4226.31,100.98,7.95,331.52,4670.95,4251.3,104.86,8.9,340.29,4713.07,4492.5,43.61,7.26,347.75,4893.8
King George County,834.69,37.76,1.62,134.13,1008.81,4294.77,83.45,6.69,113.09,4506.08,4321.34,162.5,7.24,135.66,4631.36,4619.37,41.06,7.11,173.87,4845.47
King William County,7685.5,164.28,15.76,218.01,8250.9,4647.79,84.89,35.23,474.83,5253.6,4628.74,183.74,66.34,515.64,5415.45,5306.39,44.3,62.32,540.51,6014.27
King and Queen County,13619.25,462.52,95.97,973.83,15151.74,4454.96,84.26,9.67,632.8,5184.44,4676.81,481.79,12.82,641.47,5815.92,4961.18,59.18,13.31,606.66,5655.6
Lancaster County,2062.06,107.35,5.78,231.88,2487.72,2088.12,84.25,6.35,246.81,2432.85,2116.78,159.89,7.29,282.95,2576.76,2371,83.95,6.21,275.17,2745.15
Lee County,6294.1,166.48,14.9,557.1,7032.57,6295.52,63,21.7,531.58,6912.59,6338.74,152.54,19.08,543.87,7054.23,6788.14,12.66,19.22,641.76,7461.77
Loudoun County,3196.36,35.65,14.78,100.37,3393.32,3503.89,79.14,14.97,113.18,3749.84,3453.39,88.63,15.54,120.32,3724.72,3634.27,54.75,14.88,126.02,3836.33
Louisa County,3362.67,77.92,9.75,298.43,3815.78,3362.69,62.35,8.25,328.66,4358.26,3355.91,146.95,9.3,319.14,4364.18,3651.94,65.61,8.68,343.87,5010.06
Lunenburg County,5247.94,149.03,36.4,713.61,6146.98,5420.24,173.7,20.29,726.97,6342.91,5451.08,275.31,21.29,798.65,6550.96,5961.42,166.54,20.78,811.29,6960.03
Lynchburg City,4094.3,90.76,141.67,666.5,4995.57,4250.12,149.78,150.92,704,5257.15,4297.45,175.78,144.77,734.13,5355.18,4796.49,149.55,132.27,772.09,5859.77
Madison County,3779.59,119.01,11.8,185.1,4095.62,4230.28,118.44,11.86,246.83,4607.63,4257.29,240.29,9.3,279.08,4785.97,4428.88,82.57,11.96,316,4839.41
Manassas City,4116.74,80.47,9.25,793.61,5080.84,4616.98,48.31,10.76,971.26,5732.79,4557.08,173.58,11.77,1041.01,5872.9,4786.03,132.39,9.26,1115.77,6121.18
Manassas Park City,4506.12,99.81,8.24,973.15,5596.42,5145.43,99.37,8.24,1177.26,6440.71,5044.84,227.41,11.74,1231.23,6522.22,5270.25,47.73,9.87,1281.69,6635.49
Martinsville City,4820.67,121.59,16.34,819.57,5795.93,5136.07,124.94,13.29,911.02,6289.9,5122.05,282.06,13.59,996.29,6485.49,5400.66,145.77,12.96,1057.03,6709.12
Mathews County,3351.35,138.69,7.75,215.3,3713.08,3726.87,143.4,8.16,178.61,4167.52,3689.19,192.92,7.62,224.52,4114.25,4135.85,114.82,7.42,224.75,4482.83
Mecklenburg County,4556.67,102,11.75,580.08,5250.61,4703.45,109.62,12.67,488.54,5315.93,4647.82,198.23,10.7,554.83,5412.33,4952.5,78.73,15.53,547.34,5594.66
Middlesex County,2349.46,148.74,112.7,318.83,2929.73,2615.76,683.91,84.11,190.91,3745.54,2571.32,659.87,8.21,199.62,3461.2,2566.03,593.93,9.08,139.45,3347.44
Montgomery County,4521.5,107.43,40.88,344.41,5021.34,4345.21,103.4,25.27,344,4827.14,4346.86,172.12,47.91,357.82,4936.66,4724.06,88.09,45.14,353.67,5223.13
Nelson County,3344.28,109.19,9.75,387.01,3850.23,3408.51,112.23,8.61,377.87,3907.83,3388.63,126.33,11.39,413.72,3940.08,3797.3,80.73,11.95,406.91,4296.89
